location_name,location_description,location_db,location_address,location_bit,location_data_type,location_group
df_vsp,Deflector Voltage Setpoint Digit,1,206,,int,
df_mv1_sp,Deflector Movement 1 Setpoint Digits,1,224,,int,
df_mv2_sp,Deflector Movement 2 Setpoint Digits,1,230,,int,
qd1_isp,Quad 1 Current Setpoint Digits,1,248,,int,
qd2_isp,Quad 2 Current Setpoint Digits,1,254,,int,
hc_13_isp,Harmonic Coils 1-3 Setpoint Digits,1,280,,int,
hc_24_isp,Harmonic Coils 2-4 Setpoint Digits,1,286,,int,
is_az_sp,Ion Source Azimuthal Movement Setpoint Digits,1,302,,int,
mp_isp,Compensation Coil Ps Current Setpoint Digits,1,558,,int,
yok_t_fk_sl,Yoke Temperature Feedback Slope,11,0,,real,
yok_t_fk_of,Yoke Temperature Feedback Offset,11,4,,real,
c_vc_fk_sl,Cyclo Vacuum Feedback Slope,11,8,,real,
c_vc_fk_of,Cyclo Vacuum Feedback Offset,11,10,,real,
lrf_fwd_fk_sl,LLRF Forward Power Feedback Slope,11,20,,real,
lrf_fwd_fk_of,LLRF Forward Power Feedback Offset,11,24,,real,
lrf_ref_fk_sl,LLRF Reflected Power Feedback Slope,11,28,,real,
lrf_ref_fk_of,LLRF Reflected Power Feedback Offset,11,32,,real,
fpa_cli_fk_sl,FPA Cooling In Temperature Feedback Slope,11,36,,real,
fpa_cli_fk_of,FPA Cooling In Temperature Feedback Offset,11,40,,real,
fpa_clo_fk_sl,FPA Cooling Out Temperature Feedback Slope,11,44,,real,
fpa_clo_fk_of,FPA Cooling Out Temperature Feedback Offset,11,48,,real,
gd_ifk_sl,FPA Grid Current Feedback Slope,11,52,,real,
gd_ifk_of,FPA Grid Current Feedback Offset,11,56,,real,
scr_ifk_sl,FPA Screen Current Feedback Slope,11,60,,real,
scr_ifk_of,FPA Screen Current Feedback Offset,11,64,,real,
an_ifk_sl,FPA Anode Current Feedback Slope,11,68,,real,
an_ifk_of,FPA Anode Current Feedback Offset,11,72,,real,
an_vfk_sl,FPA Anode Voltage Feedback Slope,11,76,,real,
an_vfk_of,FPA Anode Voltage Feedback Offset,11,80,,real,
rip_fk_sl,LLRF Ripple Feedback Slope,11,84,,real,
rip_fk_of,LLRF Ripple Feedback Offset,11,88,,real,
fpa_wfl_fk_sl,FPA Cooling Water-Flow Feedback Slope,11,92,,real,
fpa_wfl_fk_of,FPA Cooling Water-Flow Feedback Offset,11,96,,real,
de1_vfk_sl,LLRF Dee1 Voltage Feedback Slope,11,108,,real,
de1_vfk_of,LLRF Dee1 Voltage Feedback Offset,11,112,,real,
de2_vfk_sl,LLRF Dee2 Voltage Feedback Slope,11,116,,real,
de2_vfk_of,LLRF Dee2 Voltage Feedback Offset,11,120,,real,
tub_ifk_sl,LLRF Tube Current Feedback Slope,11,124,,real,
tub_ifk_of,LLRF Tube Current Feedback Offset,11,128,,real,
dee_vsp_sl,LLRF Dee Voltage Setpoint Slope,11,140,,real,
dee_vsp_of,LLRF Dee Voltage Setpoint Offset,11,144,,real,
arc_vfk_sl,Ion Source Arc Voltage Feedback Slope,11,156,,real,
arc_vfk_of,Ion Source Arc Voltage Feedback Offset,11,160,,real,
arc_ifk_sl,Ion Source Arc Current Feedback Slope For Higher Range,11,164,,real,
arc_ifk_of,Ion Source Arc Current Feedback Offset For Higher Range,11,168,,real,
ft_ifk_sl,Ion Source Filament Current Feedback Slope,11,172,,real,
ft_ifk_of,Ion Source Filament Current Feedback Offset,11,176,,real,
arc_vsp_sl,Ion Source Arc Current Setpoint Slope,11,180,,real,
arc_vsp_of,Ion Source Arc Current Setpoint Offset,11,184,,real,
ft_isp_sl,Ion Source Filament Current Setpoint Slope,11,188,,real,
ft_isp_of,Ion Source Filament Current Setpoint Offset,11,192,,real,
df_vfk_sl,Deflector Voltage Feedback Slope,11,212,,real,
df_vfk_of,Deflector Voltage Feedback Offset,11,216,,real,
df_ifk_sl,Deflector Current Feedback Slope,11,220,,real,
df_ifk_of,Deflector Current Feedback Offset,11,224,,real,
df_vsp_sl,Deflector Voltage Setpoint Slope,11,228,,real,
df_vsp_of,Deflector Voltage Setpoint Offset,11,232,,real,
df_mv1_fk_sl,Deflector Movement 1 Feedback Slope,11,236,,real,
df_mv1_fk_of,Deflector Movement 1 Feedback Offset,11,240,,real,
df_mv2_fk_sl,Deflector Movement 2 Feedback Slope,11,244,,real,
df_mv2_fk_of,Deflector Movement 2 Feedback Offset,11,248,,real,
df_mv1_sp_sl,Deflector Movement 1 Setpoint Slope,11,252,,real,
df_mv1_sp_of,Deflector Movement 1 Setpoint Offset,11,256,,real,
df_mv2_sp_sl,Deflector Movement 2 Setpoint Slope,11,260,,real,
df_mv2_sp_of,Deflector Movement 2 Setpoint Offset,11,264,,real,
qd1_ifk_sl,Quad 1 P.S. Current Feedback Slope,11,276,,real,
qd1_ifk_off,Quad 1 P.S. Current Feedback Offset,11,280,,real,
qd2_ifk_sl,Quad 2 P.S. Current Feedback Slope,11,284,,real,
qd2_ifk_off,Quad 2 P.S. Current Feedback Offset,11,288,,real,
qd1_isp_sl,Quad 1 P.S. Current Setpoint Slope,11,292,,real,
qd1_isp_off,Quad 1 P.S. Current Setpoint Offset,11,296,,real,
qd2_isp_sl,Quad 2 P.S. Current Setpoint Slope,11,300,,real,
qd2_isp_off,Quad 2 P.S. Current Setpoint Offset,11,304,,real,
hc_13_ifk_sl,Harmoic Coil 1-3 Current Feedback Slope,11,316,,real,
hc_13_ifk_of,Harmoic Coil 1-3 Current Feedback Offset,11,320,,real,
hc_24_ifk_sl,Harmoic Coil 2-4 Current Feedback Slope,11,324,,real,
hc_24_ifk_of,Harmoic Coil 2-4 Current Feedback Offset,11,328,,real,
hc_13_isp_sl,Harmoic Coil 1-3 Current Setpoint Slope,11,332,,real,
hc_13_isp_of,Harmoic Coil 1-3 Current Setpoint Offset,11,336,,real,
hc_24_isp_sl,Harmoic Coil 2-4 Current Setpoint Slope,11,340,,real,
hc_24_isp_of,Harmoic Coil 2-4 Current Setpoint Offset,11,344,,real,
is_az_fk_sl,Ion Source Azimuthal Movement Feedback Slope,11,352,,real,
is_az_fk_of,Ion Source Azimuthal Movement Feedback Offset,11,356,,real,
is_az_sp_sl,Ion Source Azimuthal Movement Setpoint Slope,11,360,,real,
is_az_sp_of,Ion Source Azimuthal Movement Setpoint Offset,11,364,,real,
rp_sp_sl,RP Setpoint Slope,11,376,,real,
rp_sp_of,RP Setpoint Offset,11,380,,real,
rp_fk_sl,RP Feedback Slope,11,384,,real,
